,SpecimenCode,Species,isSoil,isGround,isArboreal,MicrohabString,Caste,sortingID
0,jtl211535,myrmicinaewasmannia auropunctata,False,True,False,ex sifted leaf litter,worker,519228
0,jtl211536,formicinaenylanderia (indet),False,True,False,ex sifted leaf litter,worker,519229
0,jtl211537,myrmicinaeadelomyrmex silvestrii,False,True,False,ex sifted leaf litter,worker,519230
0,jtl211538,myrmicinaerogeria jtl006,False,True,False,ex sifted leaf litter,worker,519231
0,jtl211539,amblyoponinaeprionopelta (indet),False,True,False,ex sifted leaf litter,queen,519232
0,jtl211540,myrmicinaecyphomyrmex rimosus_sl,False,True,False,ex sifted leaf litter,worker,519233
0,jtl211541,ponerinaehypoponera nitidula,False,True,False,ex sifted leaf litter,queen,519234
0,jtl211542,myrmicinaestrumigenys brevicornis,False,True,False,ex sifted leaf litter,queen,519235
0,jtl211543,myrmicinaestrumigenys gundlachi,False,True,False,ex sifted leaf litter,worker,519236
0,jtl211544,myrmicinaepheidole branstetteri,False,True,False,ex sifted leaf litter,worker,519237
0,jtl211545,myrmicinaesolenopsis (indet),False,True,False,ex sifted leaf litter,worker,519238
0,jtl211546,myrmicinaewasmannia auropunctata,False,True,False,ex sifted leaf litter,worker,519239
0,jtl211547,formicinaenylanderia (indet),False,True,False,ex sifted leaf litter,worker,519240
0,jtl211548,ponerinaepachycondyla harpax,False,True,False,ex sifted leaf litter,worker,519241
0,jtl211549,ponerinaebelonopelta deletrix,False,True,False,ex sifted leaf litter,worker,519242
0,jtl211550,myrmicinaecyphomyrmex rimosus_sl,False,True,False,ex sifted leaf litter,worker,519243
0,jtl211551,myrmicinaestrumigenys brevicornis,False,True,False,ex sifted leaf litter,worker,519244
0,jtl211552,myrmicinaepheidole rugiceps,False,True,False,ex sifted leaf litter,worker,519245
0,jtl211553,myrmicinaepheidole harrisonfordi,False,True,False,ex sifted leaf litter,worker,519246
0,jtl211554,myrmicinaepheidole (indet),False,True,False,ex sifted leaf litter,queen,519247
0,jtl211555,myrmicinaesolenopsis (indet),False,True,False,ex sifted leaf litter,worker,519248
0,jtl211556,myrmicinaewasmannia auropunctata,False,True,False,ex sifted leaf litter,worker,519249
0,jtl211557,formicinaenylanderia (indet),False,True,False,ex sifted leaf litter,worker,519250
0,jtl211558,myrmicinaepheidole tuxtlasana,False,True,False,ex sifted leaf litter,worker,519251
0,jtl211559,myrmicinaepheidole specularis,False,True,False,ex sifted leaf litter,worker,519252
0,jtl211560,myrmicinaestrumigenys brevicornis,False,True,False,ex sifted leaf litter,worker,519253
0,jtl211561,myrmicinaestrumigenys gundlachi,False,True,False,ex sifted leaf litter,worker,519254
0,jtl211562,myrmicinaecyphomyrmex rimosus_sl,False,True,False,ex sifted leaf litter,worker,519255
0,jtl211563,myrmicinaerogeria jtl006,False,True,False,ex sifted leaf litter,worker,519256
0,jtl211564,myrmicinaeoctostruma trithrix,False,True,False,ex sifted leaf litter,queen,519257
0,jtl211565,myrmicinaeadelomyrmex silvestrii,False,True,False,ex sifted leaf litter,worker,519258
0,jtl211566,ponerinaehypoponera nitidula,False,True,False,ex sifted leaf litter,queen,519259
0,jtl211567,ponerinaethaumatomyrmex ferox_complex,False,True,False,ex sifted leaf litter,worker,519260
0,jtl211568,ponerinaepachycondyla harpax,False,True,False,ex sifted leaf litter,worker,519261
0,jtl211569,formicinaecamponotus atriceps,False,True,False,ex sifted leaf litter,worker,519262
0,jtl211570,myrmicinaesolenopsis (indet),False,True,False,ex sifted leaf litter,worker,519263
0,jtl211571,myrmicinaewasmannia auropunctata,False,True,False,ex sifted leaf litter,worker,519264
0,jtl211572,formicinaenylanderia (indet),False,True,False,ex sifted leaf litter,worker,519265
0,jtl211573,myrmicinaemegalomyrmex incisus,False,True,False,ex sifted leaf litter,worker,519266
0,jtl211574,myrmicinae(dacetini) (indet),False,True,False,ex sifted leaf litter,male,519267
0,jtl211575,myrmicinaestrumigenys brevicornis,False,True,False,ex sifted leaf litter,worker,519268
0,jtl211576,myrmicinaestrumigenys gundlachi,False,True,False,ex sifted leaf litter,worker,519269
0,jtl211577,myrmicinaecyphomyrmex rimosus_sl,False,True,False,ex sifted leaf litter,worker,519270
0,jtl211578,ponerinaehypoponera nitidula,False,True,False,ex sifted leaf litter,worker,519271
0,jtl211579,myrmicinaesolenopsis (indet),False,True,False,ex sifted leaf litter,worker,519272
0,jtl211580,myrmicinaewasmannia auropunctata,False,True,False,ex sifted leaf litter,worker,519273
0,jtl211581,formicinaenylanderia (indet),False,True,False,ex sifted leaf litter,worker,519274
0,jtl211582,myrmicinaepheidole harrisonfordi,False,True,False,ex sifted leaf litter,worker,519275
0,jtl211583,myrmicinaepheidole rugiceps,False,True,False,ex sifted leaf litter,queen,519276
0,jtl211584,myrmicinaestrumigenys gundlachi,False,True,False,ex sifted leaf litter,worker,519277
0,jtl211585,myrmicinaecyphomyrmex rimosus_sl,False,True,False,ex sifted leaf litter,worker,519278
0,jtl211586,myrmicinaeoctostruma balzani,False,True,False,ex sifted leaf litter,queen,519279
0,jtl211587,myrmicinaelachnomyrmex scrobiculatus,False,True,False,ex sifted leaf litter,worker,519280
0,jtl211588,ponerinaepachycondyla harpax,False,True,False,ex sifted leaf litter,worker,519281
0,jtl211589,pseudomyrmecinaepseudomyrmex boopis,False,True,False,ex sifted leaf litter,worker,519282
0,jtl211590,myrmicinaesolenopsis (indet),False,True,False,ex sifted leaf litter,queen,519283
0,jtl211591,myrmicinaewasmannia auropunctata,False,True,False,ex sifted leaf litter,worker,519284
0,jtl211592,formicinaenylanderia (indet),False,True,False,ex sifted leaf litter,worker,519285
