,specimenCode,dateImageUploaded
0,antweb1008979,2018/4/11
0,antweb1008980,2018/4/11
0,antweb1008981,2018/4/11
0,antweb1008982,2018/6/12
0,antweb1014000,2015/8/24
0,antweb1014001,2015/8/24
0,antweb1014002,2015/8/24
0,antweb1014003,2015/9/03
0,antweb1014004,2015/9/18
0,antweb1014005,2015/9/18
0,antweb1014006,2015/9/18
0,antweb1014007,2017/5/01
0,antweb1014008,2015/9/24
0,antweb1014009,2015/9/25
0,antweb1014018,2017/5/22
0,antweb1025000,2017/10/11
0,antweb1025008,2017/10/11
0,antweb1025010,2017/10/11
0,antweb1025022,2017/10/16
0,antweb1025030,2017/10/11
0,antweb1025125,2017/10/11
0,antweb1025146,2017/10/11
0,antweb1025163,2017/10/17
