"","V1","V2","V3","V4"
"39747","casent0901456","132.907172995781","103.245428973277","83.3558368495077"
"39748","casent0901458","90.5002888503755","82.2281917966493","72.6522241478914"
"39749","casent0901471","116.656148867314","89.3042071197411","65.7342233009709"
"39750","casent0901478","156.823407917384","116.475387263339","72.0874354561102"
"39751","casent0901467","141.107142857143","105.923571428571","80.6042857142857"
"39752","casent0901472","88.8913738019169","79.9720447284345","80.5694888178914"
"39753","casent0901519","141.234464353793","109.377811666031","78.3720930232558"
"39754","casent0901529","166.915218536072","134.806740389679","76.9399684044234"
"39755","casent0901539","157.593280914939","121.919228020014","83.3123659756969"
"39756","casent0901551","107.473099415205","80.3953216374269","62.0888888888889"
"39757","casent0901562","82.0421127765882","65.7037830121342","58.6067094932191"
"39758","casent0901527","143.496474735605","96.87955346651","71.4383078730905"
"39759","casent0901548","151.464722112732","102.003153330706","72.8100118249901"
"39760","casent0901528","184.823863636364","136.516233766234","75.5292207792208"
"39761","casent0901546","107.134969325153","78.7466768916155","69.4199897750511"
"39762","casent0901565","144.675209898365","107.455589924878","78.5488289880689"
"39763","casent0901566","100.629022082019","79.684858044164","76.8990536277603"
"39764","casent0901602","129.240196078431","98.3371459694989","69.1448801742919"
"39765","casent0901563","122.770573566085","90.2007481296758","72.5831255195345"
"39766","casent0901607","108.87624750499","78.1842980705256","63.9507651363939"
"39767","casent0901580","136.162878787879","101.01452020202","80.6098484848485"
"39768","casent0901619","75.4693509615385","67.5030048076923","63.3635817307692"
"39769","casent0901590","154.714422616195","114.071394345951","96.4221370388117"
"39770","casent0901586","83.2396144898637","67.9115985377202","67.3429710867398"
"39771","casent0901611","124.175082586126","90.6347333647947","64.5738555922605"
"39772","casent0901664","81.9386018237082","74.4115501519757","73.6012158054711"
"39773","casent0901665","172.335014409222","133.309798270893","82.6296829971182"
"39774","casent0901637","110.697709923664","87.0229007633588","67.9435114503817"
"39775","casent0901638","157.89825436409","127.48927680798","74.8009975062344"
"39776","casent0901625","103.099173553719","81.7921487603306","68.2115702479339"
"39777","casent0901626","169.988387096774","134.413548387097","79.6838709677419"
"39778","casent0901639","127.355776587605","93.247895944912","59.6786534047437"
"39779","casent0901640","143.056818181818","111.529220779221","75.7272727272727"
"39780","casent0901661","160.363481953291","130.328237791932","78.9571125265393"
"39781","casent0901662","140.923559388475","99.9145433163465","59.890239121913"
"39782","casent0901655","113.410590277778","78.6085069444444","73.9644097222222"
"39783","casent0901654","126.640711902113","97.7914349276974","74.6907675194661"
"39784","casent0901651","105.798780487805","68.979674796748","62.9139566395664"
"39785","casent0901632","130.668604651163","104.75","84.4985465116279"
"39786","casent0901669","124.772142857143","97.5107142857143","79.7896428571429"
"39787","casent0901670","64.7074915824916","56.9419191919192","54.4301346801347"
"39788","casent0901686","91.8785372224641","72.0208968219417","63.2725293861559"
"39789","casent0901732","144.302857142857","106.885714285714","69.9407142857143"
"39790","casent0901716","121.420371867421","87.3985448666128","76.0323362974939"
"39791","casent0901694","133.636235955056","93.8089887640449","66.3511235955056"
"39792","casent0901683","121.973234200743","99.196282527881","84.1111524163569"
"39793","casent0901793","107.937559129612","90.8746452223273","101.170766319773"
"39794","casent0901753","187.996533795494","139.155979202773","72.5381282495667"
"39795","casent0901755","136.411125319693","106.601662404092","78.8913043478261"
"39796","casent0901746","88.5449101796407","75.6941117764471","69.6836327345309"
"39797","casent0901737","88.5126459143969","85.4518482490272","89.3234435797665"
"39798","casent0901739","202.323050058207","156.947031431898","83.8422584400466"
"39799","casent0901786","95.7979393245564","75.734974241557","69.6239267315398"
"39800","casent0901789","186.371745419479","145.111378977821","81.519768563163"
"39801","casent0901756","115.406865503658","86.1474395047833","72.5317951603827"
"39802","casent0901781","124.267843438219","90.6308518802763","71.2839600920952"
"39803","casent0901734","84.5740561471442","78.6253630203291","75.7076476282672"
"39804","casent0901778","110.221442885772","82.0475951903808","71.8241482965932"
"39805","casent0901810","97.3404154863078","94.1175637393768","95.6133144475921"
"39806","casent0901811","96.7812817904374","92.646998982706","88.2187182095626"
"39807","casent0901845","89.946263125386","87.2835083384805","84.2334774552193"
"39808","casent0901794","118.804764128912","93.394208313872","85.6861279775806"
"39809","casent0901796","91.6568027210884","70.7115646258503","62.5792517006803"
"39810","casent0901851","85.7534418022528","84.2221526908636","79.7916145181477"
"39811","casent0901827","110.963265306122","107.013775510204","106.031632653061"
"39812","casent0901817","85.7286596440247","83.0948056665456","79.7958590628405"
"39813","casent0901801","146.627789776818","109.74370050396","88.6493880489561"
"39814","casent0901812","124.442349846559","117.765015344147","103.433143358176"
"39815","casent0901822","97.324192336589","79.8925619834711","77.6773102930128"
"39816","casent0901877","80.9764082811748","75.6692344727973","69.213288396726"
